"Class Name - Live Objects","Live Bytes [%]","Live Bytes","Live Objects"
"java.io.File$PathStatus","0,00 %","48","2"
"sun.security.jca.ProviderList","0,00 %","48","2"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry","0,00 %","48","2"
"sun.rmi.transport.SequenceEntry","0,00 %","48","2"
"sun.management.counter.Units[]","0,00 %","48","1"
"sun.misc.NativeSignalHandler","0,00 %","48","2"
"java.lang.Object[][]","0,00 %","48","1"
"sun.reflect.generics.scope.ClassScope","0,00 %","48","2"
"sun.misc.Signal","0,00 %","48","2"
"sun.net.www.ParseUtil","0,00 %","48","3"
"sun.util.resources.en.TimeZoneNames_en","0,00 %","48","1"
"sun.util.resources.TimeZoneNames","0,00 %","48","1"
"java.lang.annotation.Annotation[]","0,00 %","48","3"
"java.lang.invoke.BoundMethodHandle$Species_L4","0,00 %","48","1"
"java.text.AttributedCharacterIterator$Attribute","0,00 %","48","3"
"java.lang.invoke.MethodHandleImpl$Intrinsic[]","0,00 %","48","1"
"java.lang.invoke.MethodHandles$Lookup","0,00 %","48","2"
"java.lang.reflect.ReflectPermission","0,00 %","48","2"
"java.lang.reflect.TypeVariable[]","0,00 %","48","2"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport$LoaderEntry[]","0,00 %","40","2"
"sun.nio.cs.ext.ExtendedCharsets","0,00 %","40","1"
"sun.management.DiagnosticCommandImpl","0,00 %","40","1"
"sun.util.locale.provider.LocaleProviderAdapter$Type[]","0,00 %","40","1"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor","0,00 %","40","1"
"com.sun.jmx.mbeanserver.MBeanServerDelegateImpl","0,00 %","40","1"
"java.lang.invoke.LambdaForm$Name[][]","0,00 %","40","1"
"com.sun.jmx.mbeanserver.JmxMBeanServer","0,00 %","40","1"
"sun.nio.cs.StandardCharsets$Aliases","0,00 %","40","1"
"projetS3Voyageur.ModesDeRecherches.BrutForce","0,00 %","40","1"
"java.lang.management.MemoryPoolMXBean[]","0,00 %","40","1"
"projetS3Voyageur.ModesDeRecherches.BadTrack","0,00 %","40","1"
"sun.util.logging.resources.logging","0,00 %","40","1"
"sun.nio.fs.WindowsPathType[]","0,00 %","40","1"
"sun.util.logging.resources.logging_fr","0,00 %","40","1"
"sun.nio.ch.FileChannelImpl$Unmapper","0,00 %","40","1"
"org.netbeans.lib.profiler.server.EventBufferManager","0,00 %","40","1"
"org.netbeans.lib.profiler.wireprotocol.InitiateProfilingCommand","0,00 %","40","1"
"java.util.PropertyResourceBundle","0,00 %","40","1"
"java.util.ResourceBundle$1","0,00 %","40","1"
"sun.rmi.server.UnicastServerRef","0,00 %","40","1"
"sun.nio.cs.StandardCharsets$Cache","0,00 %","40","1"
"java.lang.Thread$State[]","0,00 %","40","1"
"sun.nio.cs.StandardCharsets$Classes","0,00 %","40","1"
"org.netbeans.lib.profiler.server.system.Classes$RedefineException","0,00 %","32","1"
"org.netbeans.lib.profiler.wireprotocol.DumpResultsResponse","0,00 %","32","1"
"org.netbeans.lib.profiler.wireprotocol.EventBufferDumpedCommand","0,00 %","32","1"
"javax.management.MBeanConstructorInfo","0,00 %","32","1"
"org.netbeans.lib.profiler.wireprotocol.WireIO","0,00 %","32","1"
"projetS3Voyageur.CompositionPays.GestionDistance","0,00 %","32","1"
"java.util.logging.LogManager$SystemLoggerContext","0,00 %","32","1"
"sun.instrument.InstrumentationImpl","0,00 %","32","1"
"java.util.jar.JarVerifier$3","0,00 %","32","2"
"java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl","0,00 %","32","1"
"java.util.concurrent.SynchronousQueue","0,00 %","32","1"
"java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue","0,00 %","32","1"
"sun.management.jmxremote.LocalRMIServerSocketFactory$1","0,00 %","32","1"
"java.util.TreeSet","0,00 %","32","2"
"sun.misc.ObjectInputFilter$Status[]","0,00 %","32","1"
"java.util.LinkedHashSet","0,00 %","32","2"
"java.util.LinkedHashMap$LinkedEntrySet","0,00 %","32","2"
"java.util.HashMap$KeySet","0,00 %","32","2"
"sun.nio.ch.FileDispatcherImpl","0,00 %","32","2"
"sun.nio.cs.StandardCharsets","0,00 %","32","1"
"sun.nio.fs.NativeBuffer","0,00 %","32","1"
"java.security.CodeSigner[]","0,00 %","32","2"
"sun.nio.fs.NativeBuffer[]","0,00 %","32","1"
"sun.nio.fs.WindowsFileSystem","0,00 %","32","1"
"java.nio.ByteOrder","0,00 %","32","2"
"java.net.Socket$3","0,00 %","32","2"
"java.net.Socket$2","0,00 %","32","2"
"java.lang.reflect.WeakCache","0,00 %","32","1"
"java.lang.management.MemoryManagerMXBean[]","0,00 %","32","1"
"java.lang.invoke.LambdaFormEditor$Transform[]","0,00 %","32","1"
"java.lang.invoke.DirectMethodHandle$Special","0,00 %","32","1"
"java.lang.ThreadGroup[]","0,00 %","32","1"
"java.lang.Shutdown$Lock","0,00 %","32","2"
"java.lang.OutOfMemoryError[]","0,00 %","32","1"
"java.lang.NullPointerException","0,00 %","32","1"
"java.lang.Exception","0,00 %","32","1"
"sun.rmi.runtime.NewThreadAction","0,00 %","32","1"
"sun.rmi.server.UnicastRef2","0,00 %","32","2"
"java.lang.ArithmeticException","0,00 %","32","1"
"java.io.WinNTFileSystem","0,00 %","32","1"
"java.io.SerializablePermission","0,00 %","32","1"
"sun.rmi.server.WeakClassHashMap$ValueCell","0,00 %","32","2"
"java.io.RandomAccessFile","0,00 %","32","1"
"sun.rmi.transport.DGCImpl$LeaseInfo","0,00 %","32","1"
"sun.rmi.transport.proxy.RMIMasterSocketFactory","0,00 %","32","1"
"sun.rmi.transport.tcp.TCPTransport$AcceptLoop","0,00 %","32","1"
"java.io.FilePermission","0,00 %","32","1"
"java.io.FileInputStream","0,00 %","32","1"
"sun.util.locale.provider.LocaleResources","0,00 %","32","1"
"sun.util.locale.provider.LocaleServiceProviderPool","0,00 %","32","1"
"com.sun.jmx.mbeanserver.Repository","0,00 %","32","1"
"javax.management.remote.JMXServiceURL","0,00 %","32","1"
"java.util.concurrent.TimeUnit$3","0,00 %","24","1"
"java.util.concurrent.TimeUnit$4","0,00 %","24","1"
"java.util.concurrent.TimeUnit$5","0,00 %","24","1"
"java.util.concurrent.TimeUnit$6","0,00 %","24","1"
"java.util.concurrent.TimeUnit$7","0,00 %","24","1"
"sun.nio.cs.UTF_8","0,00 %","24","1"
"java.util.Collections$EmptyMap","0,00 %","24","1"
"java.net.InetAddress$Cache$Type[]","0,00 %","24","1"
"java.lang.invoke.MethodHandleImpl$4","0,00 %","24","1"
"sun.rmi.runtime.RuntimeUtil$1","0,00 %","24","1"
"java.util.concurrent.locks.ReentrantReadWriteLock","0,00 %","24","1"
"sun.nio.cs.UTF_16BE","0,00 %","24","1"
"sun.util.locale.BaseLocale$Cache","0,00 %","24","1"
"java.util.logging.LogManager$LoggerContext","0,00 %","24","1"
"sun.nio.cs.ThreadLocalCoders$2","0,00 %","24","1"
"sun.nio.fs.NativeBuffer$Deallocator","0,00 %","24","1"
"sun.misc.URLClassPath$FileLoader","0,00 %","24","1"
"sun.management.CompilationImpl","0,00 %","24","1"
"java.net.Inet6AddressImpl","0,00 %","24","1"
"projetS3Voyageur.CompositionPays.Villes","0,00 %","24","1"
"sun.launcher.LauncherHelper[]","0,00 %","24","1"
"sun.launcher.LauncherHelper","0,00 %","24","1"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet","0,00 %","24","1"
"projetS3Voyageur.Voyageur","0,00 %","24","1"
"org.netbeans.lib.profiler.wireprotocol.Response","0,00 %","24","1"
"java.util.Collections$SetFromMap","0,00 %","24","1"
"java.util.Locale$Cache","0,00 %","24","1"
"java.util.Locale$Category[]","0,00 %","24","1"
"org.netbeans.lib.profiler.server.HeapHistogramManager","0,00 %","24","1"
"sun.management.VMManagementImpl","0,00 %","24","1"
"sun.rmi.transport.DGCImpl","0,00 %","24","1"
"sun.nio.ch.NativeThreadSet","0,00 %","24","1"
"sun.nio.cs.ISO_8859_1","0,00 %","24","1"
"sun.util.locale.provider.TimeZoneNameProviderImpl","0,00 %","24","1"
"projetS3Voyageur.Pays","0,00 %","24","1"
"sun.util.logging.PlatformLogger","0,00 %","24","1"
"sun.nio.cs.UTF_16","0,00 %","24","1"
"java.util.ResourceBundle$Control$CandidateListCache","0,00 %","24","1"
"sun.nio.cs.ThreadLocalCoders$1","0,00 %","24","1"
"sun.management.ThreadImpl","0,00 %","24","1"
"sun.management.RuntimeImpl","0,00 %","24","1"
"sun.management.OperatingSystemImpl","0,00 %","24","1"
"sun.nio.cs.US_ASCII","0,00 %","24","1"
"sun.instrument.TransformerManager","0,00 %","24","1"
"java.util.concurrent.Executors$RunnableAdapter","0,00 %","24","1"
"sun.util.logging.PlatformLogger$JavaLoggerProxy","0,00 %","24","1"
"com.sun.jmx.mbeanserver.ClassLoaderRepositorySupport","0,00 %","24","1"
"java.util.Date","0,00 %","24","1"
"java.util.logging.LoggingPermission","0,00 %","24","1"
"java.lang.Double","0,00 %","24","1"
"sun.nio.cs.UTF_16LE","0,00 %","24","1"
"java.lang.ClassValue$Version","0,00 %","24","1"
"java.net.SocketPermissionCollection","0,00 %","24","1"
"sun.nio.cs.MS1252","0,00 %","24","1"
"sun.management.MemoryImpl","0,00 %","24","1"
"java.io.FilePermissionCollection","0,00 %","24","1"
"com.sun.jmx.mbeanserver.MXBeanLookup","0,00 %","24","1"
"javax.management.NotificationBroadcasterSupport","0,00 %","24","1"
"java.util.concurrent.TimeUnit$1","0,00 %","24","1"
"java.net.ServerSocket","0,00 %","24","1"
"javax.management.remote.rmi.RMIJRMPServerImpl$ExportedWrapper","0,00 %","24","1"
"java.lang.ClassValue$Entry[]","0,00 %","24","1"
"java.util.concurrent.TimeUnit$2","0,00 %","24","1"
"java.io.File$PathStatus[]","0,00 %","24","1"
"sun.reflect.GeneratedSerializationConstructorAccessor1","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor10","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor11","0,00 %","16","1"
"java.security.Provider[]","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor12","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor13","0,00 %","16","1"
"java.security.cert.Certificate[]","0,00 %","16","1"
"java.lang.invoke.MethodHandleImpl$3","0,00 %","16","1"
"java.lang.invoke.MethodHandleImpl$2","0,00 %","16","1"
"java.lang.invoke.MemberName$Factory","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor14","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor15","0,00 %","16","1"
"java.text.MessageFormat$Field","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor16","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor17","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor18","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor19","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor2","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor20","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor21","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor22","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor23","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor24","0,00 %","16","1"
"com.sun.jmx.mbeanserver.MBeanInstantiator","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor25","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor26","0,00 %","16","1"
"com.sun.jmx.interceptor.DefaultMBeanServerInterceptor$ResourceContext$1","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor27","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor28","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor29","0,00 %","16","1"
"sun.nio.ch.Util$1","0,00 %","16","1"
"java.util.Collections$EmptyIterator","0,00 %","16","1"
"java.util.Collections$EmptyList","0,00 %","16","1"
"java.lang.Throwable[]","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor3","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor30","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor31","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor4","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor5","0,00 %","16","1"
"com.sun.jmx.mbeanserver.MBeanAnalyzer$MethodOrder","0,00 %","16","1"
"java.util.Collections$EmptySet","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor6","0,00 %","16","1"
"java.lang.Terminator$1","0,00 %","16","1"
"java.lang.System$2","0,00 %","16","1"
"java.util.Collections$SingletonSet","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor7","0,00 %","16","1"
"sun.nio.ch.FileChannelImpl$1","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor8","0,00 %","16","1"
"sun.net.www.protocol.jar.JarFileFactory","0,00 %","16","1"
"java.lang.String$CaseInsensitiveComparator","0,00 %","16","1"
"sun.reflect.GeneratedSerializationConstructorAccessor9","0,00 %","16","1"
"sun.reflect.ReflectionFactory","0,00 %","16","1"
"sun.net.www.protocol.file.Handler","0,00 %","16","1"
"sun.misc.Unsafe","0,00 %","16","1"
"java.util.Hashtable$EntrySet","0,00 %","16","1"
"java.lang.Runtime","0,00 %","16","1"
"java.util.IdentityHashMap$KeySet","0,00 %","16","1"
"sun.misc.Perf","0,00 %","16","1"
"com.sun.jmx.mbeanserver.DescriptorCache","0,00 %","16","1"
"sun.misc.ObjectInputFilter$Config$$Lambda$5.961944038","0,00 %","16","1"
"sun.misc.Launcher$Factory","0,00 %","16","1"
"java.util.ResourceBundle$Control","0,00 %","16","1"
"sun.reflect.generics.tree.TypeVariableSignature","0,00 %","16","1"
"sun.misc.Launcher","0,00 %","16","1"
"java.lang.InheritableThreadLocal","0,00 %","16","1"
"java.lang.Float","0,00 %","16","1"
"sun.misc.FloatingDecimal$1","0,00 %","16","1"
"java.lang.ClassValue$Identity","0,00 %","16","1"
"sun.misc.ASCIICaseInsensitiveComparator","0,00 %","16","1"
"sun.rmi.runtime.Log$LoggerLogFactory","0,00 %","16","1"
"java.util.logging.LoggingProxyImpl","0,00 %","16","1"
"sun.rmi.runtime.RuntimeUtil","0,00 %","16","1"
"sun.rmi.server.UnicastRef","0,00 %","16","1"
"java.lang.CharacterDataLatin1","0,00 %","16","1"
"java.util.logging.SimpleFormatter","0,00 %","16","1"
"sun.management.jmxremote.LocalRMIServerSocketFactory","0,00 %","16","1"
"sun.rmi.server.UnicastServerRef$HashToMethod_Maps","0,00 %","16","1"
"sun.management.jmxremote.ConnectorBootstrap$PermanentExporter","0,00 %","16","1"
"java.lang.ApplicationShutdownHooks$1","0,00 %","16","1"
"java.util.zip.ZipFile$1","0,00 %","16","1"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory","0,00 %","16","1"
"javax.management.JMX","0,00 %","16","1"
"java.util.WeakHashMap$KeySet","0,00 %","16","1"
"sun.rmi.transport.DGCImpl$$Lambda$1.1583336608","0,00 %","16","1"
"sun.rmi.transport.DGCImpl$1","0,00 %","16","1"
"sun.rmi.transport.DGCImpl$2$$Lambda$2.705915754","0,00 %","16","1"
"org.netbeans.lib.profiler.server.ProfilingPointServerHandler[]","0,00 %","16","1"
"sun.rmi.transport.DGCImpl_Skel","0,00 %","16","1"
"sun.rmi.transport.DGCImpl_Stub","0,00 %","16","1"
"sun.rmi.transport.proxy.RMIDirectSocketFactory","0,00 %","16","1"
"org.netbeans.lib.profiler.server.ProfilerInterface$1","0,00 %","16","1"
"sun.rmi.transport.tcp.TCPTransport$1","0,00 %","16","1"
"javax.management.MBeanServerBuilder","0,00 %","16","1"
"java.util.concurrent.SynchronousQueue$TransferStack","0,00 %","16","1"
"java.util.concurrent.ThreadPoolExecutor$AbortPolicy","0,00 %","16","1"
"java.io.ObjectInputStream$1","0,00 %","16","1"
"java.io.ObjectInputStream$$Lambda$4.1928837860","0,00 %","16","1"
"java.io.FileDescriptor$1","0,00 %","16","1"
"java.io.DeleteOnExitHook$1","0,00 %","16","1"
"sun.security.provider.NativeSeedGenerator","0,00 %","16","1"
"java.util.concurrent.atomic.AtomicBoolean","0,00 %","16","1"
"sun.management.ManagementFactoryHelper$PlatformLoggingImpl","0,00 %","16","1"
"sun.management.HotSpotDiagnostic","0,00 %","16","1"
"sun.util.calendar.Gregorian","0,00 %","16","1"
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock","0,00 %","16","1"
"sun.util.locale.provider.AuxLocaleProviderAdapter$NullProvider","0,00 %","16","1"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter","0,00 %","16","1"
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock","0,00 %","16","1"
"com.sun.proxy.$Proxy2","0,00 %","16","1"
"sun.management.ClassLoadingImpl","0,00 %","16","1"
"javax.management.NotificationBroadcasterSupport$1","0,00 %","16","1"
"java.util.jar.JavaUtilJarAccessImpl","0,00 %","16","1"
"java.util.logging.ErrorManager","0,00 %","16","1"
"com.sun.jmx.remote.security.SubjectDelegator","0,00 %","16","1"
"com.sun.jmx.remote.protocol.iiop.IIOPProxyImpl","0,00 %","16","1"
"com.sun.jmx.remote.internal.ServerCommunicatorAdmin$Timeout","0,00 %","16","1"
"java.util.logging.Handler[]","0,00 %","16","1"
"com.sun.jmx.mbeanserver.SecureClassLoaderRepository","0,00 %","16","1"
"javax.management.remote.rmi.RMIConnectionImpl_Stub","0,00 %","16","1"
"sun.util.locale.provider.SPILocaleProviderAdapter","0,00 %","16","1"
"sun.util.locale.provider.TimeZoneNameUtility$TimeZoneNameGetter","0,00 %","16","1"
"java.nio.charset.CoderResult$2","0,00 %","16","1"
"java.nio.charset.CoderResult$1","0,00 %","16","1"
"java.nio.file.Files$AcceptAllFilter","0,00 %","16","1"
"java.nio.channels.spi.AbstractInterruptibleChannel$1","0,00 %","16","1"
"java.nio.file.attribute.FileAttribute[]","0,00 %","16","1"
"sun.nio.fs.WindowsFileSystemProvider","0,00 %","16","1"
"sun.util.resources.LocaleData","0,00 %","16","1"
"sun.reflect.GeneratedConstructorAccessor1","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor1","0,00 %","16","1"
"java.nio.Bits$1$1","0,00 %","16","1"
"java.nio.Bits$1","0,00 %","16","1"
"java.net.URL[]","0,00 %","16","1"
"java.net.URLClassLoader$7","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor10","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor11","0,00 %","16","1"
"java.rmi.server.RMIClassLoader$2","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor12","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor13","0,00 %","16","1"
"com.sun.jmx.mbeanserver.MXBeanIntrospector","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor14","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor15","0,00 %","16","1"
"java.rmi.server.RemoteObjectInvocationHandler","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor16","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor17","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor18","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor19","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor2","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor20","0,00 %","16","1"
"sun.util.resources.LocaleData$LocaleDataResourceBundleControl","0,00 %","16","1"
"java.rmi.server.RemoteObjectInvocationHandler$MethodToHash_Maps","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor21","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor22","0,00 %","16","1"
"java.security.AllPermission","0,00 %","16","1"
"java.net.InetAddress$2","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor23","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor24","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor25","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor26","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor27","0,00 %","16","1"
"sun.instrument.TransformerManager$TransformerInfo[]","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor28","0,00 %","16","1"
"java.security.ProtectionDomain$2","0,00 %","16","1"
"java.lang.reflect.ReflectAccess","0,00 %","16","1"
"java.lang.reflect.Proxy$ProxyClassFactory","0,00 %","16","1"
"java.lang.reflect.Proxy$KeyFactory","0,00 %","16","1"
"java.security.ProtectionDomain$JavaSecurityAccessImpl","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor29","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor3","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor30","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor31","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor32","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor33","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor34","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor35","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor36","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor37","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor38","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor39","0,00 %","16","1"
"java.lang.ref.Reference$Lock","0,00 %","16","1"
"java.lang.ref.Reference$1","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor4","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor40","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor41","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor42","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor43","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor44","0,00 %","16","1"
"java.lang.management.PlatformComponent$9","0,00 %","16","1"
"java.lang.management.PlatformComponent$8","0,00 %","16","1"
"java.lang.management.PlatformComponent$7","0,00 %","16","1"
"java.lang.management.PlatformComponent$6","0,00 %","16","1"
"java.lang.management.PlatformComponent$5","0,00 %","16","1"
"java.lang.management.PlatformComponent$4","0,00 %","16","1"
"java.lang.management.PlatformComponent$3","0,00 %","16","1"
"java.lang.management.PlatformComponent$2","0,00 %","16","1"
"java.lang.management.PlatformComponent$15","0,00 %","16","1"
"java.lang.management.PlatformComponent$14","0,00 %","16","1"
"java.lang.management.PlatformComponent$13","0,00 %","16","1"
"java.lang.management.PlatformComponent$12","0,00 %","16","1"
"java.lang.management.PlatformComponent$11","0,00 %","16","1"
"java.lang.management.PlatformComponent$10","0,00 %","16","1"
"java.lang.management.PlatformComponent$1","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor5","0,00 %","16","1"
"java.lang.management.MonitorInfo[]","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor6","0,00 %","16","1"
"java.lang.management.LockInfo[]","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor7","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor8","0,00 %","16","1"
"sun.reflect.GeneratedMethodAccessor9","0,00 %","16","1"
